epoch,phase,supervised_loss,physics_loss,total_loss,lr,batch_size,lambda_phys,model
42,phase1,0.00977069371379912,0,0.00977069371379912,0.001,8,0,sphere
43,phase1,0.009422113746404647,0,0.009422113746404647,0.001,8,0,sphere
44,phase1,0.009932926082983613,0,0.009932926082983613,0.001,8,0,sphere
45,phase1,0.010765694035217165,0,0.010765694035217165,0.001,8,0,sphere
46,phase1,0.01213278891518712,0,0.01213278891518712,0.001,8,0,sphere
47,phase1,0.014915053397417069,0,0.014915053397417069,0.001,8,0,sphere
48,phase1,0.012371180476620794,0,0.012371180476620794,0.001,8,0,sphere
49,phase1,0.010628187721595168,0,0.010628187721595168,0.001,8,0,sphere
50,phase1,0.009734124168753624,0,0.009734124168753624,0.001,8,0,sphere
51,phase1,0.00902100850827992,0,0.00902100850827992,0.001,8,0,sphere
52,phase1,0.010310731446370482,0,0.010310731446370482,0.001,8,0,sphere
53,phase1,0.009611928295344114,0,0.009611928295344114,0.001,8,0,sphere
54,phase1,0.009837031504139305,0,0.009837031504139305,0.001,8,0,sphere
55,phase1,0.009106844756752252,0,0.009106844756752252,0.001,8,0,sphere
56,phase1,0.009166027004830539,0,0.009166027004830539,0.001,8,0,sphere
57,phase1,0.009377170484513045,0,0.009377170484513045,0.001,8,0,sphere
58,phase1,0.010141882821917534,0,0.010141882821917534,0.001,8,0,sphere
59,phase1,0.010199655732139944,0,0.010199655732139944,0.001,8,0,sphere
60,phase1,0.009641823363490403,0,0.009641823363490403,0.001,8,0,sphere
1,phase2,0,0.02147557370481081,0.15357421248219907,0.001,8,0.5,sphere
2,phase2,0,0.020739449307438918,0.11844834540039301,0.001,8,0.5,sphere
3,phase2,0,0.020615511989453807,0.04458380667027086,0.001,8,0.5,sphere
4,phase2,0,0.020463633232284336,0.03487969890236855,0.001,8,0.5,sphere
5,phase2,0,0.0209703180580982,0.048483864916488525,0.001,8,0.5,sphere
6,phase2,0,0.020296461209945847,0.03434837362729013,0.001,8,0.5,sphere
7,phase2,0,0.020669725385087077,0.02712254868587479,0.001,8,0.5,sphere
8,phase2,0,0.02055343061510939,0.028468464235775173,0.001,8,0.5,sphere
9,phase2,0,0.020543811758689117,0.02951988340821117,0.001,8,0.5,sphere
10,phase2,0,0.020545069562795105,0.026646332677919417,0.001,8,0.5,sphere
11,phase2,0,0.020503327489132063,0.029702873826026918,0.001,8,0.5,sphere
12,phase2,0,0.02058098760462599,0.032227824917063115,0.001,8,0.5,sphere
13,phase2,0,0.020428550082433505,0.02506253058090806,0.001,8,0.5,sphere
14,phase2,0,0.02033961715409532,0.02800595378736034,0.001,8,0.5,sphere
15,phase2,0,0.020429996784660034,0.02360025263391435,0.001,8,0.5,sphere
16,phase2,0,0.02068570748291677,0.022905217432416976,0.001,8,0.5,sphere
17,phase2,0,0.020432832833612337,0.02402523816563189,0.001,8,0.5,sphere
18,phase2,0,0.020444860583811533,0.02448696526233107,0.001,8,0.5,sphere
19,phase2,0,0.020415270612284077,0.02355134434532374,0.001,8,0.5,sphere
20,phase2,0,0.020540702007710934,0.0258000967069529,0.001,8,0.5,sphere
21,phase2,0,0.02028306436695857,0.033174484241753815,0.001,8,0.5,sphere
22,phase2,0,0.020587343051447535,0.02649911865592003,0.001,8,0.5,sphere
23,phase2,0,0.020286346593347843,0.02704315195325762,0.001,8,0.5,sphere
24,phase2,0,0.020614161932026035,0.024904423216357826,0.001,8,0.5,sphere
25,phase2,0,0.020307617694488727,0.022530064969323575,0.001,8,0.5,sphere
26,phase2,0,0.020525131406611764,0.021743500833399595,0.001,8,0.5,sphere
27,phase2,0,0.02054775609896751,0.02244625143241137,0.001,8,0.5,sphere
28,phase2,0,0.02047607634536689,0.024386518462561072,0.001,8,0.5,sphere
29,phase2,0,0.020570363652077504,0.030050840503536166,0.001,8,0.5,sphere
30,phase2,0,0.02044874306186102,0.022002679808065296,0.001,8,0.5,sphere
